,dq_variance,dq_minimum,dq_mean,dq_skewness,dq_kurtosis,dq_max_minus_min,qd_cycle2,qd_cycle100,qd_ratio_100_2,qd_slope_91_100,qd_intercept_91_100,qd_slope_2_100,chargetime_cycle2,chargetime_cycle100,ir_cycle2,ir_cycle100,ir_diff_100_2,tavg_first100,tmin_first100,tmax_first100,tavg_slope,dq_5_4_variance,cycle_life
b1c0,-3.4872646629339425,-0.055061277717081025,-0.025801000173386008,-0.031479490173761226,-1.2427805311018727,0.05496606417300808,1.1020051,1.1052729,1.0029653220298163,-0.0001386460606060055,1.1180734987878733,1.373756833643947e-05,10.174119999999919,10.17378000000026,0.017402707,0.017472349,6.96420000000017e-05,31.807497385473816,28.851412,36.404427,0.0004443808441931193,-5.194296850319608,477.0
b1c1,-3.2980512792108363,-0.0661147205894651,-0.035595007639683186,0.31797393315438527,-1.158896104290289,0.06618580614558146,1.1057826,1.1015422,0.9961652498420576,-0.0003579678787878456,1.1394755024242391,-3.290422139763861e-05,10.174206666666821,10.171570000000065,0.01817438,0.01748017,-0.0006942100000000007,33.59830289682961,29.748539199568196,37.4468,0.0009624132205229484,-6.858938460504125,491.0
b1c2,-3.4602482397892893,-0.052717818544041395,-0.025013386420214043,-0.15548705410586489,-1.4047752618060985,0.05262433151258172,1.0753863,1.0728362,0.9976286660895718,-9.643696969692457e-05,1.0837017406060563,-5.3960603586805125e-06,10.174533333333239,10.174986666666033,0.016669566,0.016570868,-9.869800000000123e-05,33.17756576063981,30.291048,38.33985803206289,-0.0015031157097573004,-5.359124882756683,424.0
b1c3,-3.4962428608216856,-0.05586845261151374,-0.020089882918698704,-0.6875549965892124,-0.8113184735348473,0.05583241287019599,1.0959566,1.1003293,1.003989847773169,-0.0003240066666666126,1.1323827666666613,7.592857884973753e-05,10.173233333333338,10.173715000000083,0.016083341,0.016047783,-3.5558000000001505e-05,33.93958543884461,30.19519,39.422000644443116,-0.0010314399693722163,-5.191151796940744,499.0
b1c4,-3.2325067380458314,-0.07029720690084085,-0.034781796484889084,-0.010553223599522939,-1.3028634336884557,0.07042746452492928,1.0899745,1.0813601,0.9920966958401319,5.9412727272746644e-05,1.0761765745454526,-6.742782807667963e-05,10.229458333333362,10.272591666665782,0.017068394,0.016164802,-0.0009035920000000017,33.05027186948681,29.809912,38.209395652763355,-0.0034351355833588428,-5.2864008008611805,444.0
b1c5,-3.0858816713535586,-0.08615002847927744,-0.04648540460048997,0.36271887026361754,-1.0367447353611885,0.08617923490217896,1.0989141,1.0760076,0.9791553316132717,-0.00025926484848479283,1.1039321830302975,-0.0001948491799628852,10.178749999999855,10.23735666666568,0.016014345,0.015297641,-0.0007167039999999986,33.01550370431462,30.103149270492455,38.388368590154755,0.001102188074881618,-6.038455090782325,416.0
b1c6,-3.5300395393303794,-0.04987247893740465,-0.02082479246051704,-0.421545748718249,-1.2153452404987264,0.04993301501751011,1.0885617,1.090597,1.001869714872386,-0.0001851472727272528,1.1091641945454525,6.243813358071642e-05,10.178309999999813,10.179319999999523,0.016595399,0.016069336,-0.0005260630000000002,33.81745006948466,30.021366,40.4669448483313,0.00256769592528024,-5.6388688375931135,393.0
b1c7,-4.231669349526509,-0.021737979924043582,-0.008823099834708447,-0.37401640554492793,-1.327270817550986,0.021920137620199717,1.0904776,1.09727,1.0062288303767082,7.010424242422562e-05,1.089005844848487,5.346993939394844e-05,10.036841666666684,10.036468333333808,0.014809063,0.014822467,1.3403999999999847e-05,33.766912217149354,29.833401,37.918381,-0.00026751723149537424,-5.032735740600006,777.0
b1c9,-4.3444247227989825,-0.019754152325308416,-0.007446960333569007,-0.05226800365779333,-0.7618914639490715,0.02739549526671184,1.0949715,1.0975486,1.0023535772392251,0.00023090060606063546,1.0750085121212094,-3.1789604205310855e-05,10.039878333333279,10.040635000000474,0.015408114,0.015355112,-5.300199999999991e-05,32.35755295299843,30.423269501409568,35.00847845562602,-0.0032287697741156364,-5.163732046109339,791.0
b1c11,-3.4853930881861825,-0.05489875594719695,-0.024012633467613776,-0.22241289658072516,-1.240356023621339,0.054827936721698584,1.0959171,1.1086942,1.0116588198140168,9.152303030307291e-05,1.0994188806060563,0.00011636928385901053,10.173326666666496,10.174293333332752,0.017361749,0.017377542,1.5793000000000057e-05,33.14963101101539,29.651962,39.423817,-0.003567623572273183,-4.323713296090391,449.0
